"term","estimate","std.error","conf.low","conf.high","p.value","significant"
"(Intercept)",7.49228924494081,1.9997793770252,3.53074170140277,11.4538367884789,"< 0.001","*"
"Experience_LevelNovice",0.678704064584321,0.920973684077565,-1.14573771021191,2.50314583938055,"0.463",""
"Experience_LevelProfessional",-3.04603377372423,0.841038329130943,-4.71212422603503,-1.37994332141343,"< 0.001","*"
"Tour_StatusOn_Tour",1.34846074535905,1.25244939871437,-1.13263186709854,3.82955335781665,"0.284",""
"Performance_AnxietyLow",-0.568323549860571,0.741180793493885,-2.03659699317958,0.899949893458436,"0.445",""
"Performance_AnxietyMedium",-0.448221164847849,0.525251134461005,-1.48873961671828,0.592297287022581,"0.395",""
"Weekly_Practice_Hours",0.0574381408701195,0.0690402607416784,-0.0793300839093924,0.194206365649631,"0.407",""
"Age",0.0171819223475985,0.0253819155230432,-0.0330994568114309,0.0674633015066279,"0.5",""
"Sleep_Hours",-0.305934307000585,0.185398912208622,-0.673208124138999,0.0613395101378292,"0.102",""
"Experience_LevelProfessional:Tour_StatusOn_Tour",-0.392412982513617,1.33180029813426,-3.03069911555963,2.2458731505324,"0.769",""
